               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  16,            0.024392,            0.015409,           0.0076578,             0.83495,             0.87379,             0.90797,             0.75641,            0.013612,           0.0064137,           0.0041359,            0.008515,            0.008515,            0.008515
                  17,            0.024224,            0.015274,           0.0073513,             0.83766,             0.84683,             0.90178,             0.74332,            0.013434,           0.0065155,           0.0043406,            0.008416,            0.008416,            0.008416
                  18,            0.024206,            0.015391,           0.0075787,             0.85181,              0.8609,             0.90679,             0.75372,            0.013435,           0.0064148,           0.0045731,            0.008317,            0.008317,            0.008317
                  19,            0.023897,            0.015126,           0.0069949,             0.86214,             0.85202,             0.91281,             0.76589,            0.013115,           0.0062512,            0.003742,            0.008218,            0.008218,            0.008218
                  20,            0.023694,            0.015306,           0.0071251,              0.8684,             0.84966,             0.91047,             0.76379,             0.01325,           0.0062724,           0.0036134,            0.008119,            0.008119,            0.008119
                  21,            0.023625,             0.01483,           0.0069374,             0.86801,             0.85317,             0.91496,             0.76521,            0.012941,           0.0062597,           0.0040251,             0.00802,             0.00802,             0.00802
                  22,            0.023697,            0.015219,           0.0067521,             0.83109,             0.86966,              0.9093,              0.7685,            0.012864,           0.0061767,           0.0040996,            0.007921,            0.007921,            0.007921
                  23,             0.02353,            0.014868,           0.0068505,             0.86415,             0.86919,             0.91664,             0.77852,            0.012887,            0.006061,           0.0036215,            0.007822,            0.007822,            0.007822
                  24,            0.023481,            0.014917,           0.0066303,             0.84985,             0.88532,             0.91919,             0.78122,            0.012854,           0.0060653,           0.0035351,            0.007723,            0.007723,            0.007723
                  25,            0.023273,            0.014942,           0.0069096,             0.87176,             0.86038,             0.91941,             0.77767,            0.012842,           0.0061072,           0.0036769,            0.007624,            0.007624,            0.007624
                  26,            0.023067,            0.014714,           0.0066612,             0.85575,             0.86583,             0.91182,             0.77462,            0.012637,           0.0060046,           0.0037615,            0.007525,            0.007525,            0.007525
                  27,            0.022891,            0.014628,           0.0063129,             0.85706,             0.87611,             0.91872,             0.78257,            0.012555,           0.0060836,           0.0034893,            0.007426,            0.007426,            0.007426
                  28,            0.022908,            0.014678,           0.0065028,             0.86294,             0.88587,             0.92229,              0.7866,            0.012497,           0.0061031,           0.0032278,            0.007327,            0.007327,            0.007327
                  29,            0.022824,             0.01463,           0.0063099,             0.87787,              0.8685,             0.92269,             0.78114,            0.012692,           0.0059938,           0.0033765,            0.007228,            0.007228,            0.007228
                  30,            0.022798,            0.014627,            0.006285,             0.86745,             0.87789,             0.92187,             0.78595,            0.012524,           0.0060134,           0.0034514,            0.007129,            0.007129,            0.007129
                  31,            0.022571,            0.014669,            0.005883,              0.8732,             0.87349,             0.92327,             0.78783,            0.012607,           0.0059936,           0.0036481,             0.00703,             0.00703,             0.00703
                  32,            0.022607,             0.01437,            0.006136,             0.86296,             0.87587,             0.92295,             0.78955,            0.012406,           0.0059731,           0.0036092,            0.006931,            0.006931,            0.006931
                  33,            0.022507,            0.014475,           0.0060498,               0.866,             0.87715,             0.92385,             0.79025,            0.012328,           0.0060102,           0.0035592,            0.006832,            0.006832,            0.006832
                  34,            0.022406,            0.014207,           0.0061768,             0.87291,             0.87976,             0.92545,             0.78958,            0.012268,           0.0059691,           0.0035782,            0.006733,            0.006733,            0.006733
